Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Primary Equipment ,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Grip,Load Position (Ending),Continuous or Alternating Legs ,Movement Pattern #1,Movement Pattern #2,Plane Of Motion #1,Body Region,Force Type,Mechanics,Primary Exercise Classification
Single Arm Kettlebell Bottoms Up Overhead Contralateral Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Single Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Ipsilateral Step Up,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,Plyo Box,1,Standing,Single Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Kettlebell Half Kneeling Low to High Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Kettlebell,None,0,Half Kneeling,Double Arm,Horn Grip,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Single Arm Kettlebell Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Grinds
Kettlebell Russian Twist,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Kettlebell,None,0,Seated Floor,Double Arm,Horn Grip,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Alternating Single Arm Kettlebell Plank Pull Through,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,Obliques,Kettlebell,None,0,Prone,Single Arm,Pronated,Other,Continuous,Anti-Extension,Anti-Rotational ,Sagittal Plane,Core,Other,Compound,Unsorted*
Single Arm Kettlebell Single Leg Standing Bent Knee Around The World ,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,Kettlebell,None,0,Single Leg Standing Bent Knee,Single Arm,Pronated,Other,Continuous,Unsorted*,,Transverse Plane,Core,Other,Compound,Balance
Single Arm Kettlebell Swing,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,Biceps Femoris,Kettlebell,None,0,Standing,Single Arm,Pronated,Other,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Double Kettlebell Suitcase Feet Elevated Calf Raise,,Video Explanation,Novice,Calves,Gastrocnemius,Soleus,Kettlebell,None,0,Standing,Double Arm,Neutral,Suitcase,Continuous,Ankle Plantar Flexion,,Sagittal Plane,Lower Body,Push,Isolation,Bodybuilding
Single Arm Kettlebell Spider Curl,,,Novice,Biceps,Biceps Brachii,Brachialis,Kettlebell,Bench (Incline),1,Prone,Single Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Double Kettlebell Bottoms Up Bench Press,Video Demonstration,,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,Bench (Flat),1,Supine,Double Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Suitcase Deadlift,Video Demonstration,Video Explanation,Novice,Back,Latissimus Dorsi,Obliques,Kettlebell,None,0,Standing,Single Arm,Neutral,Suitcase,Continuous,Hip Hinge,Anti-Lateral Flexion,Sagittal Plane,Full Body,Pull,Compound,Bodybuilding
Single Arm Kettlebell Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,Kettlebell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Single Arm Kettlebell Clean to Overhead Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Hip Hinge,Vertical Push,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Alternating Single Arm Dumbbell Pendlay Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,Biceps Brachii,Dumbbell,None,0,Standing,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Alternating Double Kettlebell Bottoms Up Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,Bench (Flat),1,Supine,Double Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Snatch,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Kettlebell Sumo Deadlift,Video Demonstration,Video Explanation,Beginner,Back,Latissimus Dorsi,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Pull,Compound,Bodybuilding
Single Arm Kettlebell Turkish Get Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,Kettlebell,None,0,Supine,Single Arm,Pronated,Overhead,Continuous,Rotational,,Transverse Plane,Full Body,Other,Compound,Grinds
Kettlebell Goblet Squat,Video Demonstration,Video Explanation,Beginner,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Goblet,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Unsorted*
Single Arm Kettlebell Overhead Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Unsorted*
Double Kettlebell Front Rack Alternating Cossack Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Double Arm,Neutral,Front Rack,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Bench Press,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,Bench (Flat),1,Supine,Single Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Turkish Sit Up,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Kettlebell,None,0,Supine,Single Arm,Pronated,Overhead,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Double Kettlebell Turkish Sit Up,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Kettlebell,None,0,Supine,Double Arm,Pronated,Overhead,Continuous,Spinal Flexion,,Sagittal Plane,Core,Other,Compound,Unsorted*
Double Kettlebell Turkish Sit Up to Z Press,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,Anterior Deltoids,Kettlebell,None,0,Seated Floor,Double Arm,Neutral,Overhead,Continuous,Spinal Flexion,Vertical Push,Sagittal Plane,Full Body,Push,Compound,Bodybuilding
Double Kettlebell Bottoms Up Front Rack Alternating Cossack Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Double Arm,Bottoms Up,Front Rack,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Double Kettlebell Swing,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Biceps Femoris,Kettlebell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Double Kettlebell Front Rack Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Front Rack Squat,Video Demonstration,Video Explanation,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Front Rack Contralateral Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Split Squat,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Front Rack Carry,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,Kettlebell,None,0,Walking,Single Arm,Neutral,Front Rack,Alternating,Loaded Carry,,Sagittal Plane,Full Body,Other,Compound,Unsorted*
Double Kettlebell Bottoms Up Overhead Alternating Cossack Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Adductor Magnus,Kettlebell,None,0,Standing,Double Arm,Bottoms Up,Overhead,Alternating,Knee Dominant,,Frontal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Squat Clean,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Neutral,Front Rack,Continuous,Knee Dominant,Hip Hinge,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Double Kettlebell Prone Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Kettlebell,Bench (Flat),1,Prone,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Carry,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,Kettlebell,None,0,Walking,Single Arm,Bottoms Up,Front Rack,Alternating,Loaded Carry,,Sagittal Plane,Full Body,Other,Compound,Unsorted*
Double Kettlebell Bottoms Up Front Rack Carry,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,Kettlebell,None,0,Walking,Double Arm,Bottoms Up,Front Rack,Alternating,Loaded Carry,,Sagittal Plane,Full Body,Other,Compound,Unsorted*
Double Kettlebell Bottoms Up Overhead Walking Lunge,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Walking,Double Arm,Bottoms Up,Overhead,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Front Rack Walking Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Walking,Single Arm,Bottoms Up,Front Rack,Alternating,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Alternating Double Kettlebell Prone Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Kettlebell,Bench (Flat),1,Prone,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Double Kettlebell Single Leg Romanian Deadlift ,Video Demonstration,,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Kettlebell,None,0,Single Leg Standing,Double Arm,Neutral,Other,Continuous,Hip Hinge,,Sagittal Plane,Lower Body,Pull,Compound,Bodybuilding
Double Kettlebell Romanian Deadlift ,Video Demonstration,,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Hip Hinge,,Sagittal Plane,Lower Body,Pull,Compound,Bodybuilding
Single Arm Kettlebell Contralateral Single Leg Romanian Deadlift,Video Demonstration,Video Explanation,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,Kettlebell,None,0,Single Leg Standing,Single Arm,Neutral,Other,Continuous,Hip Hinge,,Sagittal Plane,Lower Body,Pull,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Overhead Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Kettlebell,None,0,Standing,Single Arm,Bottoms Up,Overhead,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Bodybuilding
Single Arm Kettlebell Prone Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Kettlebell,Bench (Flat),1,Prone,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Parallette Tuck Planche,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,Biceps Brachii,Parallette Bars,None,0,Other,Double Arm,Neutral,No Load,Continuous,Isometric Hold,,Sagittal Plane,Full Body,Other,Compound,Calisthenics
Macebell Offset Bicep Curl,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Brachialis,Macebell,None,0,Standing,Double Arm,Supinated,Other,Continuous,Elbow Flexion,,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Double Kettlebell Bottoms Up Decline Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,Bench (Decline),1,Supine,Double Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Parallette L Sit to Tuck Planche,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,Parallette Bars,None,0,L Sit,Double Arm,Neutral,No Load,Continuous,Isometric Hold,,Sagittal Plane,Core,Other,Compound,Calisthenics
Alternating Double Kettlebell Bottoms Up Decline Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,Bench (Decline),1,Supine,Double Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Landmine Standing Oblique Twist,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,,Landmine,None,0,Standing,Double Arm,Neutral,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Cable Rope Tall Kneeling High to Low Chop,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Cable,None,0,Tall Kneeling,Double Arm,Pronated,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Single Arm Parallette Plank,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,Parallette Bars,None,0,Prone,Single Arm,Neutral,No Load,Continuous,Anti-Rotational,,Sagittal Plane,Core,Other,Compound,Calisthenics
Single Arm Suspension Plank,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,Suspension Trainer,None,0,Prone,Single Arm,Pronated,No Load,Continuous,Anti-Rotational,,Sagittal Plane,Core,Other,Compound,Unsorted*
Battle Rope Russian Twist,Video Demonstration,,Novice,Abdominals,Obliques,Rectus Abdominis,Battle Ropes,None,0,Seated Floor,Double Arm,Neutral,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Bodyweight Bird Dog Knee to Elbow,Video Demonstration,,Beginner,Abdominals,Rectus Abdominis,Obliques,Bodyweight,None,0,Quadruped,Single Arm,Flat Palm,No Load,Continuous,Anti-Rotational,Spinal Rotational,Sagittal Plane,Core,Other,Compound,Unsorted*
Slam Ball Feet Elevated Russian Twist,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Slam Ball,None,0,Seated Floor,Double Arm,Neutral,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Medicine Ball Feet Elevated Russian Twist,Video Demonstration,,Novice,Abdominals,Obliques,Rectus Abdominis,Medicine Ball,None,0,Seated Floor,Double Arm,Neutral,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Alternating Double Dumbbell Prone Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Dumbbell,Bench (Flat),1,Prone,Double Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Bodyweight Forearm Plank Alternating Knee to Elbow,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Prone,Double Arm,Forearm,No Load,Alternating,Anti-Extension,,Sagittal Plane,Core,Other,Compound,Calisthenics
Bodyweight Loaded Beast to Alternating Kick Through,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,Bodyweight,None,0,Knee Hover Quadruped,Double Arm,Flat Palm,No Load,Alternating,Unsorted*,,Sagittal Plane,Core,Other,Compound,Animal Flow
Single Arm Dumbbell Prone Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,,Dumbbell,Bench (Flat),1,Prone,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Double Kettlebell Clean,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,Kettlebell,None,0,Standing,Double Arm,Neutral,Front Rack,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Double Kettlebell Snatch,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,Kettlebell,None,0,Standing,Double Arm,Pronated,Overhead,Continuous,Hip Hinge,,Sagittal Plane,Full Body,Unsorted*,Compound,Ballistics
Battle Rope Feet Elevated Russian Twist,Video Demonstration,,Intermediate,Abdominals,Obliques,Rectus Abdominis,Battle Ropes,None,0,Seated Floor,Double Arm,Neutral,Other,Continuous,Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Superband Dead Bug,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,Obliques,Superband,None,0,Supine,Double Arm,Pronated,Other,Alternating,Anti-Extension,,Sagittal Plane,Core,Other,Compound,Postural
Parallette V Sit,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,,Parallette Bars,None,0,V Sit Seated,Double Arm,Neutral,No Load,Continuous,Isometric Hold,,Sagittal Plane,Core,Other,Compound,Unsorted*
Single Arm Dumbbell Pendlay Row,,,Novice,Back,Latissimus Dorsi,Biceps Brachii,Dumbbell,None,0,Standing,Single Arm,Neutral,Other,Continuous,Horizontal Pull,,Sagittal Plane,Upper Body,Pull,Compound,Bodybuilding
Single Arm Kettlebell Bottoms Up Decline Bench Press,,,Novice,Chest,Pectoralis Major,Triceps Brachii,Kettlebell,Bench (Decline),1,Supine,Single Arm,Bottoms Up,Above Chest,Continuous,Horizontal Push,,Sagittal Plane,Upper Body,Push,Compound,Bodybuilding
Double Kettlebell Split Jerk,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Kettlebell,None,0,Staggered Stance,Double Arm,Pronated,Overhead,Continuous,Vertical Push,Hip Hinge,Sagittal Plane,Full Body,Push,Compound,Unsorted*
Double Kettlebell High Pull,Video Demonstration,Video Explanation,Intermediate,Shoulders,Posterior Deltoids,,Kettlebell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Horizontal Pull,Hip Hinge,Sagittal Plane,Full Body,Pull,Compound,Ballistics
Superband Pallof Press,Video Demonstration,,Beginner,Abdominals,Obliques,Rectus Abdominis,Superband,None,0,Standing,Double Arm,Neutral,Other,Continuous,Anti-Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Superband Half Kneeling Pallof Press,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,Superband,None,0,Half Kneeling,Double Arm,Neutral,Other,Continuous,Anti-Rotational,,Transverse Plane,Core,Other,Compound,Unsorted*
Superband Single Leg Standing Bent Knee Hip External Rotation,,Video Explanation,Novice,Glutes,Gluteus Maximus,Gluteus Medius,Superband,None,0,Single Leg Standing Bent Knee,No Arms,Hand Assisted,Other,Continuous,Hip External Rotation,,Transverse Plane,Lower Body,Unsorted*,Isolation,Unsorted*
Macebell Reverse Grip Offset Bicep Curl,,,Novice,Forearms,Brachioradialis,Biceps Brachii,Macebell,None,0,Standing,Double Arm,Pronated,Other,Continuous,Elbow Flexion,Anti-Lateral Flexion,Sagittal Plane,Upper Body,Pull,Isolation,Bodybuilding
Ring Archer Row,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,,Gymnastic Rings,None,0,Standing,Double Arm,Neutral,No Load,Continuous,Horizontal Pull,,Frontal Plane,Upper Body,Pull,Compound,Unsorted*
Single Arm Landmine Row to Rotational Shoulder Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Landmine,None,0,Standing,Single Arm,Pronated,Overhead,Continuous,Rotational,,Transverse Plane,Full Body,Push & Pull,Compound,Bodybuilding
Bodyweight Hand Assisted Skater Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Bodyweight,None,0,Single Leg Standing,Single Arm,Hand Assisted,No Load,Continuous,Knee Dominant,,Sagittal Plane,Lower Body,Push,Compound,Calisthenics
Superband Pull Through,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,,Superband,None,0,Standing,Double Arm,Pronated,Other,Continuous,Hip Hinge,,Sagittal Plane,Lower Body,Unsorted*,Compound,Bodybuilding
Miniband Quadruped Hip Extension,Video Demonstration,Video Explanation,Beginner,Glutes,Gluteus Maximus,,Miniband,None,0,Quadruped,No Arms,Flat Palm,No Load,Continuous,Hip Extension,,Sagittal Plane,Lower Body,Unsorted*,Isolation,Bodybuilding
Cable Hip Adduction,Video Demonstration,Video Explanation,Novice,Adductors,Adductor Magnus,,Cable,None,0,Standing,No Arms,Hand Assisted,Other,Continuous,Hip Adduction,,Frontal Plane,Lower Body,Other,Isolation,Unsorted*
